,label,Score
216,Won,0.7452668
217,Won,0.7538014000000001
218,Won,0.40798
219,Won,0.8042077000000001
220,Won,0.8114295
221,Won,0.40310056000000005
222,Lost,0.22957033
223,Won,0.58450085
224,Lost,0.415952355
225,Lost,0.11534469
226,Won,0.490096865
227,Lost,0.21924459999999998
228,Lost,0.71317355
229,Lost,0.21831384
230,Lost,-0.056325614
231,Won,0.561735375
232,Won,0.8066774999999999
233,Won,0.9378541149999999
234,Lost,0.8542615
235,Lost,1.0740904
236,Won,0.50121915
237,Lost,0.8436812
238,Won,0.5001958
239,Lost,0.4769731
240,Won,0.22926125
241,Lost,0.6374051
242,Won,0.94339215
243,Won,0.4301223
244,Won,0.84602064
245,Lost,0.24038040000000002
246,Lost,0.8649882
247,Won,0.6950995499999999
248,Won,0.6470785
249,Lost,0.528921845
250,Won,0.92998415
251,Won,0.80235692
252,Won,0.7391647
253,Won,0.447868925
254,Lost,1.0361888000000001
255,Won,0.6613731199999999
256,Lost,0.8095956999999999
257,Won,0.8093777799999999
258,Won,0.8817963
259,Lost,0.48988103000000005
260,Won,0.669252915
261,Won,0.4764125
262,Won,0.5699955800000001
263,Lost,0.7285982200000001
264,Won,0.7165849
265,Won,0.90648247
266,Lost,0.7387615
267,Won,0.6553824
268,Lost,0.7521884299999999
269,Lost,0.5697978
270,Lost,0.19482132000000002
271,Lost,0.3028426
272,Lost,0.24397767
273,Lost,0.20395842
274,Lost,0.31261986
275,Won,0.161425725
276,Lost,0.17444386650000002
277,Lost,0.13472313000000002
278,Won,0.679165
279,Won,0.4532476
280,Won,0.708762625
281,Lost,0.792037845
282,Won,0.58712476
283,Won,0.52701515
284,Won,0.7810083999999999
285,Lost,0.36852165
286,Lost,0.5123156
287,Won,0.22592136
288,Lost,0.38759634
289,Lost,0.36702067
290,Lost,0.24793956
291,Won,0.6367034
293,Lost,0.4504652
294,Lost,0.25526294
295,Won,0.37379587
296,Lost,0.67479665
297,Won,0.516933025
298,Lost,0.43639886499999997
299,Lost,0.61107194
300,Lost,0.5453766
301,Lost,0.69570245
302,Won,0.7362927
303,Won,0.5174859
304,Lost,0.44420397
305,Won,0.7454506
306,Won,0.154023128
307,Lost,0.7405904999999999
308,Won,0.84540904
309,Won,0.6300636
310,Won,0.8471668
311,Won,0.7999222
312,Won,0.8566347999999999
313,Lost,0.32797995
314,Won,0.55970676
315,Won,0.6206212
316,Lost,0.21796072
317,Won,0.53614
318,Won,0.786263375
319,Won,0.393959135
320,Won,0.803702665
321,Won,0.33716026
322,Won,0.7679821
323,Won,0.52147128
324,Won,0.37904340000000003
325,Lost,0.47093448
326,Won,0.5309321
327,Won,0.50742924
328,Lost,0.61622073
329,Won,0.42382605
330,Lost,0.377686095
331,Won,0.691058305
332,Won,0.75298632
333,Lost,0.40546015
334,Won,0.9139860000000002
335,Won,0.6761636
336,Lost,1.03781405
337,Lost,0.76939666
338,Won,0.7098486999999999
339,Won,0.6975180000000001
340,Won,0.896194
341,Won,0.659022835
342,Won,0.6294158000000001
343,Won,1.0902949
344,Won,0.7786709700000001
345,Won,0.8658206
346,Won,0.80474627
347,Won,0.41346294
348,Lost,0.320725325
349,Won,0.786695815
350,Lost,0.70295763
351,Won,0.76117547
352,Won,0.8260900499999999
353,Won,0.9592079
354,Lost,0.85298705
355,Lost,0.65776065
356,Lost,0.84497243
357,Lost,0.61181675
