,regression_label,regression_score,LOWESS Wide Window,LOWESS Tight Window,OLS
57,-28.0,0.82176346,-6.983834456039289,-6.235186928875958,-2.930419293204287
58,-28.0,0.829528585,-6.959959942017148,-6.197969491538136,-2.930419293204287
59,-28.0,4.82418605,-6.941207687026805,-6.174938128358221,-2.930419293204287
60,-28.0,5.22078725,-6.883661020405941,-6.1094112222951535,-2.930419293204287
61,-28.0,8.157388350000002,-6.878798224307274,-6.103105349053107,-2.930419293204287
62,-28.0,9.078655,-6.878026017795618,-6.102112522720303,-2.930419293204287
63,-27.0,-9.661889,-6.870600499127571,-6.092686915314989,-2.7485753525768066
64,-27.0,-7.5840086499999995,-6.855441890620554,-6.074145925200148,-2.7485753525768066
65,-27.0,-6.4403367,-6.823239217894126,-6.0380170033970755,-2.7485753525768066
66,-27.0,-3.51914505,-6.790656240621027,-6.009283196362953,-2.7485753525768066
67,-27.0,-1.6301568000000002,-6.788768541985782,-6.007560725397108,-2.7485753525768066
68,-27.0,-0.9713780999999999,-6.771906898836322,-5.99291690826948,-2.7485753525768066
69,-27.0,-0.73875785,-6.768474820466242,-5.990103360659348,-2.7485753525768066
70,-27.0,0.11353099999999994,-6.765393989523347,-5.987626846156434,-2.7485753525768066
71,-27.0,0.41078240000000005,-6.7563942296760295,-5.98290405337624,-2.7485753525768066
72,-27.0,3.9371254,-6.75259807775251,-5.980053363731469,-2.7485753525768066
73,-27.0,4.62381605,-6.739281218970438,-5.970607507254727,-2.7485753525768066
74,-26.0,-9.70410735,-6.738500808996,-5.970080405540462,-2.566731411949327
75,-26.0,-8.748134,-6.729069585180751,-5.963936540977926,-2.566731411949327
76,-26.0,10.2688135,-6.7090830332152445,-5.952226677678928,-2.566731411949327
77,-26.0,10.595902500000001,-6.703141271769184,-5.949059049849895,-2.566731411949327
78,-25.0,-14.977388000000001,-6.681573731868085,-5.941467492512683,-2.3848874713218473
79,-25.0,-14.728987,-6.668341514602615,-5.936133181630205,-2.3848874713218473
80,-25.0,-10.501012499999998,-6.662282079270691,-5.93656512132335,-2.3848874713218473
81,-25.0,-4.1891155,-6.6129673591532745,-5.918638897017629,-2.3848874713218473
82,-25.0,-2.74203195,-6.604555069224015,-5.9159600218189725,-2.3848874713218473
83,-25.0,-1.9870619999999999,-6.6029933434620105,-5.915473120624305,-2.3848874713218473
84,-25.0,-1.6697714,-6.599685011870613,-5.914451062948512,-2.3848874713218473
85,-25.0,-0.8463185999999999,-6.579209706455113,-5.90968304590745,-2.3848874713218473
86,-25.0,-0.69264627,-6.55718201381838,-5.90352746839312,-2.3848874713218473
87,-25.0,4.493181,-6.547992208507595,-5.9010944877091305,-2.3848874713218473
88,-25.0,14.947161,-6.531051461915831,-5.896808498225204,-2.3848874713218473
89,-24.0,-17.009531,-6.517069968138445,-5.89838114305231,-2.2030435306943676
90,-24.0,-13.030359,-6.499741051644995,-5.901292877436198,-2.2030435306943676
91,-24.0,-11.633873,-6.462316475308432,-5.897550118669353,-2.2030435306943676
92,-24.0,-11.476159,-6.457684050265638,-5.896551746655732,-2.2030435306943676
93,-24.0,-10.22224665,-6.422910914385092,-5.892436980688388,-2.2030435306943676
94,-24.0,-9.661166999999999,-6.404089157181064,-5.890225991184256,-2.2030435306943676
95,-24.0,-8.753034,-6.37927970179604,-5.887810394229478,-2.2030435306943676
96,-24.0,-8.624547399999999,-6.347936238072249,-5.885224289781925,-2.2030435306943676
97,-24.0,-8.5669045,-6.346283017630708,-5.885086373884063,-2.2030435306943676
98,-24.0,-8.206775,-6.315018489825051,-5.88360547005575,-2.2030435306943676
99,-24.0,-6.71403,-6.283656014634052,-5.88483788829657,-2.2030435306943676
100,-24.0,-5.123478899999999,-6.2775594526558995,-5.885414943239219,-2.2030435306943676
101,-24.0,-3.9332317999999997,-6.259273804073155,-5.886788492519282,-2.2030435306943676
102,-24.0,-3.8729057499999997,-6.238084001363424,-5.888870136889713,-2.2030435306943676
103,-24.0,-3.5698023,-6.217375654339485,-5.8904361646244565,-2.2030435306943676
104,-24.0,-2.8714195,-6.214372387508765,-5.890915034029161,-2.2030435306943676
105,-24.0,-2.402304,-6.211723866860062,-5.891344520409662,-2.2030435306943676
106,-24.0,-0.8773453500000001,-6.159231374670955,-5.9013630122682095,-2.2030435306943676
107,-24.0,-0.7711017,-6.159045680470934,-5.901403759836899,-2.2030435306943676
108,-24.0,0.4309099500000001,-6.139216776581961,-5.905967106318464,-2.2030435306943676
109,-24.0,1.055878,-6.125301136055695,-5.909406584748552,-2.2030435306943676
110,-24.0,1.091675885,-6.116807433433869,-5.911589476543664,-2.2030435306943676
111,-24.0,2.2785034499999997,-6.095866709879954,-5.917164247627443,-2.2030435306943676
112,-24.0,3.7107069,-6.091244480339479,-5.91841496712574,-2.2030435306943676
