Feature,full,1,0,3,2,4,Importance,StdDev
home_field___h_home__close_wr_last_4_games,0.003279966115473529,0.0024374539567485524,0.0017408013134805787,0.0037951150437513727,0.0016836094292849945,0.002350462213737801,0.0024014883914006595,0.0008511683232502796
time_date___game_time_local,0.0032576066030614173,0.0054161492541504675,0.004854785844077929,0.004712508957756696,0.0042154723637004045,0.0040968059629407794,0.0046591444765252555,0.0005308599376156678
home_field___h_home__pfr_wr_last_4_games,0.0032501794530902725,0.0032476751668386373,0.002940222020189638,0.0025170583023924123,0.0017677209017177918,0.0041189316779040456,0.0029183216138085047,0.0008711073642859693
travel___v_tz_change_last_game,0.003232198090953145,0.0021395814015229588,0.0041324815896576815,0.002157721220141589,0.00236440320724178,0.0037265181323219384,0.0029041411101771897,0.0009510698586704008
travel___h_tz_change_last_10_days,0.0031761298512926572,0.0036022378312202453,0.002055413875773677,0.003537652583373665,0.001936523457518957,0.0017652024498636676,0.0025794060395500423,0.0009103865388170794
time_date___day_of_week,0.003015733709026943,0.0020443579313736875,0.0021622700220997808,0.003198254039707403,0.000736944097772871,0.0009043421341992816,0.0018092336450306046,0.001009694172747787
team_history___v_close_wr_past_5_games,0.002884730213552638,0.004091938170399621,0.004520121955916279,0.0028191304810940413,0.00714749923141236,0.001260026629294096,0.0039677432936232795,0.00218417234354751
team_history___v_pfr_wr_past_5_games,0.002757865534229516,0.0017279501348639575,0.004901173718931947,0.0015731955522384554,0.0020905803791387853,0.005117102302358155,0.00308200041750626,0.001770867666159998
matchup___h_wr_ytd,0.0022600230308174674,0.0012215676548361868,0.0054415366259595865,0.0015567801045789284,0.0008078807920072991,0.0019001758689446047,0.002185588209265321,0.0018645021644952682
team_history___v_ovr_wr_past_5_games,0.0022097679233631807,0.003312715474015228,0.004953465909230436,0.0014921122641695518,0.00772361986300409,0.005092948151874096,0.00451497233245868,0.002313269125399455
matchup___is_same_conf,0.0021867525067980104,0.003390917637444916,0.0030093951501557288,0.001446855182958227,0.00118641749097947,0.0007459247521434648,0.001955902042736361,0.0011709395489338755
home_field___v_visitor__pfr_wr_last_4_games,0.002176391902223943,0.002768052492105261,0.0017358897505096945,0.004892386255467745,0.003391568327342853,0.0029588802430471147,0.003149355413694534,0.0011485187743958383
home_field___h_consecutive_home,0.0017696895445402003,0.001442351080329835,0.0015736346296126,0.0012435323668571689,0.00139554403622735,0.0036028522397580135,0.0018515828705569937,0.0009860739221458877
weather___is_grass,0.001382425632205236,0.0008822719551040469,0.0010984652153954821,0.0035275554072651187,0.0015551623980981119,0.001346173410004063,0.0016819256771733646,0.0010624287976268305
matchup___is_same_division,0.001261903710909974,0.0021824955119785867,0.001703721208198282,0.0007042545422346786,0.0012027971227858401,0.00036169758585789536,0.0012309931942110564,0.0007353148843449805
team_history___h_pfr_wr_past_5_games,0.0010905873935727305,0.0050842180867330345,0.002368560189498931,0.002991598428975538,0.0037195465963359006,0.0018443333331104874,0.0032016513269307783,0.0012641942408842671
time_date___game_time_eastern,0.0004713296213803418,0.0018640257173807898,0.0022408429500636886,0.00034039798059014005,0.0008024003164006393,0.0010196302217890672,0.001253459437244865,0.0007809495886341429
travel___h_same_stadium_last_game,0.00037225738064470664,5.6030257792716174e-05,3.422155544909961e-05,0.0005278809594458408,0.00039718218139139734,0.00018243434299369818,0.00023954985941455038,0.00021626610401415905
travel___v_same_stadium_last_game,2.8643363047797693e-05,0.0,3.4782533440248926e-06,1.7389360670288634e-08,3.041937412410814e-06,5.446390313263e-08,1.318408804047725e-06,1.779317943756901e-06
time_date___is_sunday,1.9830790724168256e-05,1.6154006378271915e-05,0.0013871799533854976,0.0012690227616657436,0.0005052265042960598,0.0006312895350626147,0.0007617745521576375,0.0005672798914051057
time_date___is_superbowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
time_date___is_playoffs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_field___h_is_home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weather___is_dome,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
home_field___v_is_home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
