,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
1261,201211110tam,1,1,10,2012,10,3.0,0.17389849,,0.67046785,,0.4765684,1,0.4765684
1262,201209300kan,-1,-1,4,2012,-17,2.0,,0.19513029,,0.47305974,0.12772551,0,0.19513029
1263,201212230nyj,-1,-1,16,2012,-10,3.0,0.27348667,0.14988235,0.8823109,0.401326,0.47851318,0,0.401326
1264,201211180den,-1,1,11,2012,7,7.5,,0.8705794,0.67487586,,0.63178253,1,0.67487586
1265,201210070nor,1,1,5,2012,7,3.5,,0.7595583,0.74899274,0.52057177,0.5638353,1,0.65641402
1266,201209100rai,-1,-1,1,2012,-8,1.0,,,,0.47313005,,0,0.47313005
1267,201211040cle,-1,-1,9,2012,-10,3.5,,0.51138955,0.47644496,,,0,0.49391725499999994
1268,201210210htx,1,1,7,2012,30,6.5,0.56828856,,0.5393960999999999,,,1,0.5538423299999999
1269,201211250sdg,-1,-1,12,2012,-3,0.0,0.1515483,,,0.41587700000000005,0.44430470000000005,0,0.41587700000000005
1270,201212090was,1,1,14,2012,3,1.5,,,0.6712392,,,1,0.6712392
1271,201212300cin,1,1,17,2012,6,4.5,,,,0.8718319,0.26528347,1,0.568557685
1272,201301200nwe,-1,-1,20,2012,-15,8.0,0.9742919,0.8573257,,,0.8918957000000001,0,0.8918957000000001
1274,201210070kan,1,-1,5,2012,-3,6.5,0.36414972,,,0.15573120000000001,,0,0.25994046000000004
1275,201301120den,-1,-1,19,2012,-3,9.0,0.34507346,0.57568204,0.9632375,,,0,0.57568204
1276,201211250cle,1,1,12,2012,6,1.0,,0.27302182,,0.50128907,,1,0.387155445
1277,201210210cin,-1,-1,7,2012,-7,1.0,0.4262385,0.6048059,,,0.63173115,0,0.6048059
1278,201210110oti,1,1,6,2012,3,6.5,0.15388519,0.28994536,,,,1,0.221915275
1279,201212020rav,-1,-1,13,2012,-3,7.0,,0.6504795,0.9376465,0.7105981,0.6556115,0,0.6831048
1280,201212160dal,1,1,15,2012,3,1.0,,,0.50840575,,0.33340096,1,0.420903355
1281,201211040nyg,-1,-1,9,2012,-4,3.5,0.6789605,,,,0.5556667,0,0.6173135999999999
1282,201209090den,1,1,1,2012,12,1.0,,,,0.47087890000000004,,1,0.47087890000000004
1283,201209230rai,1,1,3,2012,3,4.0,,0.4433183,0.08893797,,,1,0.266128135
1284,201212160cle,-1,-1,15,2012,-17,4.0,,,,,0.41274120000000003,0,0.41274120000000003
1285,201209160ram,1,1,2,2012,3,3.5,,,,0.40350348,0.32341427,1,0.363458875
1286,201210280pit,1,1,8,2012,15,4.5,,0.67544883,0.82220244,,,1,0.748825635
1287,201209300tam,-1,-1,4,2012,-2,1.0,0.73406947,0.32241790000000004,,0.42424253,,0,0.42424253
1288,201212230phi,-1,-1,16,2012,-7,4.5,,,,,0.26902044,0,0.26902044
1289,201211220dal,-1,-1,12,2012,-7,3.5,,0.60808456,,,0.44197434,0,0.52502945
1290,201210210nyg,-1,1,7,2012,4,6.5,,,0.65774214,0.6326314000000001,0.9135074000000001,1,0.65774214
1291,201209090nor,-1,-1,1,2012,-8,8.5,,0.6904781,1.0515082,0.852584,0.81631744,0,0.83445072
1292,200709300dal,1,1,4,2007,28,13.0,0.6015001,,0.79790473,,0.38322937,1,0.6015001
1293,200710210sea,1,1,7,2007,27,7.5,0.7003861,0.7356835,0.80913365,0.45043886,,1,0.7180348000000001
1294,200712090cin,-1,1,14,2007,9,10.0,0.8347776,,,1.0469985000000002,,1,0.9408880500000001
1295,200711180sfo,-1,-1,11,2007,-4,3.5,,0.49666148,,,0.42566940000000003,0,0.46116544000000004
1296,200712300crd,1,1,17,2007,29,6.0,,,0.6533435000000001,,,1,0.6533435000000001
1297,200710140rav,1,1,6,2007,19,9.0,,,0.55577415,0.61569756,,1,0.585735855
1298,200709230tam,1,1,3,2007,21,3.5,0.569049,,0.5160899,,,1,0.54256945
1299,200711110nor,-1,-1,10,2007,-8,10.0,0.85867,,0.73674196,,,0,0.79770598
1300,200710210dal,1,1,7,2007,10,9.0,,,0.88912857,,,1,0.88912857
1301,200711110gnb,1,1,10,2007,34,5.5,0.08746171,0.45055065,0.52976656,0.538017,0.6907709,1,0.52976656
1302,200711250nyg,-1,-1,12,2007,-24,7.0,1.008008,,0.9062655999999999,1.0719073000000001,1.0428292,0,1.0254186
1303,200712090sfo,-1,-1,14,2007,-20,7.5,,0.5117708,,0.21827114,0.3280092,0,0.3280092
1304,200710140chi,-1,-1,6,2007,-3,5.0,,,0.55601424,,,0,0.55601424
1305,200712300den,1,1,17,2007,3,2.5,,0.43501490000000004,0.42610420000000004,0.11947206,,1,0.42610420000000004
1306,200711180dal,-1,1,11,2007,5,10.5,0.93838406,0.81670135,0.56480795,0.70554715,,1,0.76112425
1307,200712230min,-1,-1,16,2007,-11,6.0,0.7860356,,0.7481770000000001,,,0,0.7671063
1309,200712160nyg,-1,-1,15,2007,-12,6.0,,0.32138449999999996,,,,0,0.32138449999999996
1310,200801050sea,1,1,18,2007,21,3.0,0.15417108,0.7838459,0.5745188,,0.7583779,1,0.66644835
1311,200710280nwe,1,1,8,2007,45,15.0,,,0.8948705,,,1,0.8948705
1312,200711250tam,1,1,12,2007,6,3.0,0.49120167,0.5203276,,,0.8065211999999999,1,0.5203276
1313,200709170phi,-1,-1,2,2007,-8,6.5,,,0.68304956,0.74150985,0.7793616,0,0.74150985
1314,200711290dal,1,1,13,2007,10,7.0,,0.47350025,0.5178022,,,1,0.49565122500000003
1315,200709300min,-1,-1,4,2007,-7,0.0,0.6864275,,0.3979656,,,0,0.54219655
1316,200709160nyg,-1,-1,2,2007,-22,3.0,0.18709809,0.57086945,0.25233835,,0.5932853,0,0.4116039
1317,200712160ram,-1,-1,15,2007,-19,7.0,,,,0.2131576,0.0033442974,0,0.1082509487
1318,200712230chi,1,1,16,2007,28,7.5,,0.50112695,,,,1,0.50112695
1319,200710290den,-1,-1,8,2007,-6,3.0,,0.37145490000000003,,0.35997197,,0,0.365713435
1320,200711220det,-1,-1,12,2007,-11,3.0,0.33217657,0.08581078,0.085888416,,,0,0.085888416
1321,200711040kan,-1,-1,9,2007,-11,2.5,,0.5255974,0.40848866,0.4015253,0.79751086,0,0.46704303
1322,200712160dal,-1,-1,15,2007,-4,10.0,,,0.91165495,,,0,0.91165495
1323,200709090gnb,1,1,1,2007,3,3.0,,,,0.17623553,,1,0.17623553
1324,200710280min,-1,-1,8,2007,-7,0.0,,,0.39288887,0.6456899,,0,0.519289385
1325,200710140nyj,-1,-1,6,2007,-7,4.0,0.5110541000000001,,0.3396058,,0.52639043,0,0.5110541000000001
1326,200709300nyg,1,1,4,2007,13,2.0,,0.68546295,,,0.46761462,1,0.576538785
1327,200711110was,-1,-1,10,2007,-8,2.5,0.75432026,0.4297053,0.35497683,,0.77056754,0,0.59201278
1328,200711250nwe,-1,1,12,2007,3,23.5,0.84693074,,,0.8491943000000001,,1,0.84806252
1329,200712230nor,-1,-1,16,2007,-15,3.0,0.48095804,0.45986049999999995,,,0.46180028,0,0.46180028
1330,200809150dal,-1,1,2,2008,4,6.5,,,0.5261172,,,1,0.5261172
1331,200901040min,-1,-1,18,2008,-12,3.5,,0.54904455,,,,0,0.54904455
1332,200812070nyg,-1,-1,14,2008,-6,6.5,,0.7064185000000001,,0.8296460999999999,0.5615643,0,0.7064185000000001
1333,200901110nyg,-1,-1,19,2008,-12,4.0,,,,,0.7135387,0,0.7135387
1334,200811020sea,-1,-1,9,2008,-19,7.0,0.19726562,0.26653618,0.38105259999999996,0.33105877,0.4255126,0,0.33105877
1335,200812210was,1,1,16,2008,7,5.5,0.5518543,,,,,1,0.5518543
1336,200809280chi,1,1,4,2008,4,3.0,0.590622,0.37922883,,,0.46356556,1,0.46356556
1337,200901180crd,1,1,20,2008,7,3.0,,,,,0.6692137,1,0.6692137
1338,200811230rav,1,1,12,2008,29,2.0,0.17650163,0.9344293,,0.4410622,,1,0.4410622
1339,200810120sfo,-1,-1,6,2008,-14,5.0,0.43255848,,0.5503955,0.22863844,0.22288638,0,0.33059846000000004
1340,200809280dal,-1,-1,4,2008,-2,10.0,0.7388965000000001,,0.96657586,0.8800374,0.8492726999999999,0,0.8646550499999999
1341,200809040nyg,1,1,1,2008,9,4.5,,,0.5603734,0.35678497,0.7402333000000001,1,0.5603734
1342,200812140cin,1,1,15,2008,7,6.5,,0.32676744,0.35966596,,0.33469899999999997,1,0.33469899999999997
1343,200812070rav,1,1,14,2008,14,6.0,,0.67963666,0.46848017,,0.28067175,1,0.46848017
1344,200810050phi,-1,-1,5,2008,-6,6.5,0.68341166,0.80930686,,,,0,0.74635926
1345,200810260dal,1,1,8,2008,4,1.5,0.50093734,0.37588509999999997,0.27278800000000003,,,1,0.37588509999999997
1346,200812080car,1,1,14,2008,15,3.0,,,0.33009273,,0.7825141,1,0.556303415
1347,200809210chi,-1,-1,3,2008,-3,3.0,,0.54182607,0.5801543,,0.38337332,0,0.54182607
1349,200811230det,-1,-1,12,2008,-18,8.0,,,,0.16120607,0.10221833,0,0.1317122
1350,200812140atl,-1,1,15,2008,3,5.5,0.4509349,,,,,1,0.4509349
1351,200811020kan,1,-1,9,2008,-3,9.5,,,,0.08841795,0.10931279999999999,0,0.09886537499999999
1352,200809070nor,1,1,1,2008,4,3.0,0.33986074,,,,,1,0.33986074
1353,200710070gnb,-1,-1,5,2007,-7,3.0,,0.68531805,,,,0,0.68531805
1354,200712170min,-1,1,15,2007,7,10.5,,0.59221387,,,0.6787616999999999,1,0.635487785
1355,200711110rai,-1,-1,10,2007,-11,3.5,,,0.43272936,,,0,0.43272936
1356,200709090sdg,1,1,1,2007,11,7.0,,0.6344733,0.8136041,0.93167484,1.0199094000000002,1,0.87263947
1357,200711180sea,1,1,11,2007,7,6.0,,,,0.54855835,,1,0.54855835
1358,200712060was,1,1,14,2007,8,3.0,,0.35637623,0.7454384000000001,,0.27795544,1,0.35637623
1359,200709300det,1,1,4,2007,10,2.5,,0.15137681,,0.29745388,0.7869866,1,0.29745388
1360,200710210phi,-1,-1,7,2007,-3,5.5,,0.7516969,,,0.7551445999999999,0,0.75342075
1361,200711180gnb,1,1,11,2007,14,10.0,,,0.86184597,0.90473604,0.8322634,1,0.86184597
1362,200712090jax,1,1,14,2007,31,11.0,0.9886693999999999,0.64061975,0.9593529000000001,0.9380863000000002,,1,0.9487196000000001
1363,200709090ram,-1,-1,1,2007,-14,2.5,0.7242887,0.7920759,0.45582953,,,0,0.7242887
1364,200710140crd,-1,-1,6,2007,-15,6.0,,0.650462,0.8436915,0.6954238,,0,0.6954238
1365,200711040oti,1,1,9,2007,13,5.5,0.6950466,0.49417920000000004,0.64497197,0.7622939000000001,,1,0.6700092849999999
1366,200712300tam,-1,-1,17,2007,-8,3.0,0.10752216,0.75293255,,0.23356444,0.6551479,0,0.44435617
1367,200709230atl,-1,-1,3,2007,-7,4.0,,0.36382574,0.19293451,,0.37046844,0,0.36382574
1368,200710070nor,-1,-1,5,2007,-3,3.5,0.4291231,0.48955813,,0.6443272,0.56727976,0,0.528418945
1369,200712090gnb,1,1,14,2007,31,10.0,,0.77180976,0.9874195,0.92601657,,1,0.92601657
1370,200712230jax,1,1,16,2007,38,14.0,1.0407714,1.0167323,0.97719806,1.0638237,0.91649157,1,1.0167323
1371,200711180min,1,1,11,2007,7,4.5,,,0.5344191999999999,0.8788450999999999,,1,0.7066321499999999
1372,200710140sdg,1,1,6,2007,14,9.5,,0.6317588000000001,,0.7360699,0.94564414,1,0.7360699
1373,200709160den,-1,1,2,2007,3,9.5,0.5855626,,,0.7272395,,1,0.65640105
1374,200709300mia,-1,-1,4,2007,-18,3.5,,0.7483951999999999,0.6858552,,,0,0.7171251999999999
