,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
700,200911220jax,-1,1,11,2009,3,8.0,0.69947886,0.67772764,0.8691399999999999,,0.5759076,1,0.705563525
701,200910180nyj,-1,-1,6,2009,-3,9.5,,0.9980103000000001,,,,0,0.9980103000000001
702,200910250car,-1,-1,7,2009,-11,7.0,0.5655173000000001,0.6678725999999999,0.666427,0.7152743,,0,0.6537728
704,201510040chi,1,1,4,2015,2,3.0,,0.39193225,0.57128495,,,1,0.4816086
705,201511220det,1,1,11,2015,5,1.5,0.124551356,,0.7111006,,0.17653796,1,0.3373966386666667
706,201511080pit,-1,1,9,2015,3,6.0,0.72796845,,0.50578845,0.7819384,0.71315014,1,0.6822113599999999
707,201601030kan,-1,1,17,2015,6,7.0,0.7091695,,,0.85577595,0.7452745,1,0.7700733166666667
708,201512130den,-1,-1,14,2015,-3,6.0,,0.43964523,0.69840854,,,0,0.569026885
709,201509270cle,-1,-1,3,2015,-7,3.5,,,0.5487382,,0.44506216,0,0.49690017999999997
710,201511290oti,-1,-1,12,2015,-3,1.0,0.49229026,,0.3652072,0.6630034,,0,0.50683362
711,201512060sdg,-1,-1,13,2015,-14,6.0,0.4991209,0.12747845,0.33758299999999997,0.14787918,0.23732468,0,0.269877242
712,201509270det,-1,-1,3,2015,-12,3.0,,,0.6782632,,0.6275881999999999,0,0.6529256999999999
713,201512200pit,-1,1,15,2015,7,7.5,,0.88577324,0.90101695,,,1,0.893395095
714,201509170kan,-1,-1,2,2015,-7,3.0,0.09810334400000001,,,,,0,0.09810334400000001
715,201511080clt,1,1,9,2015,3,3.0,0.21061459,,0.47818106,,,1,0.344397825
716,201510110rai,-1,-1,5,2015,-6,5.5,,,0.6731165,,,0,0.6731165
784,201012050crd,-1,-1,13,2010,-13,3.0,0.24628636,,,0.6956194,0.12746169999999998,0,0.35645582000000003
785,201011280den,-1,-1,12,2010,-3,3.0,0.5296318,0.77084523,0.5849123,0.554179,0.42846164,0,0.573605994
786,201010100det,1,1,5,2010,38,3.0,,,,,0.70010173,1,0.70010173
787,201010240tam,-1,1,7,2010,1,3.0,,0.6198799,0.38386065,,0.081059456,1,0.36160000200000003
788,201012120nor,1,1,14,2010,18,9.5,0.7862226,,0.6503258000000001,0.93071985,0.9122546999999999,1,0.8198807374999999
789,201011140sfo,-1,1,10,2010,3,5.0,0.2956245,0.74424875,,,,1,0.519936625
790,201009190rai,-1,1,2,2010,2,3.0,,0.58292806,,0.57626694,0.19391751,1,0.4510375033333333
791,201101080sea,1,1,18,2010,5,10.0,0.2700046,0.4108492,0.40584826,,,1,0.36223402
792,201012050cin,1,-1,13,2010,-4,6.5,0.25348485,,0.7157084,,,0,0.484596625
793,201011070car,-1,-1,9,2010,-31,5.5,,0.34133336,,0.20829472,,0,0.27481404
794,201010100crd,1,1,5,2010,10,7.0,0.07354087,-0.023461162999999997,0.1888183,0.34586492,,1,0.14619073175
796,201010170tam,-1,-1,6,2010,-25,5.5,,,0.48376128,0.13153270000000003,,0,0.30764699
797,201012270atl,-1,-1,16,2010,-3,2.5,0.6729470000000001,,,,,0,0.6729470000000001
798,201009200sfo,1,-1,2,2010,-3,5.5,0.17055499999999998,,,,,0,0.17055499999999998
799,201011250dal,1,-1,12,2010,-3,4.5,0.35398158,0.42604512,0.41600329999999996,0.20253009,,0,0.3496400225
800,200809140was,1,1,2,2008,5,1.0,,,0.36546585,0.021572262000000002,,1,0.193519056
801,200810190car,1,1,7,2008,23,3.0,0.63358533,,,,,1,0.63358533
802,200809210den,-1,1,3,2008,2,5.5,,0.2573205,,,,1,0.2573205
803,200812210det,-1,-1,16,2008,-35,7.0,0.08426729,0.14206564,,0.2685057,,0,0.16494621
804,200811300tam,-1,1,13,2008,3,4.5,,,0.9762981,0.615323,0.6047544,1,0.7321251666666666
805,200811090atl,1,1,10,2008,14,1.5,0.43162534,,0.5968791,,0.46021265,1,0.4962390300000001
806,200811160kan,-1,-1,11,2008,-10,6.0,-0.01525116,,,0.18742481,0.13186842,0,0.10134735666666667
807,201012260den,1,1,16,2010,1,2.0,,0.7378796,0.2856112,,0.5855125,1,0.5363344333333333
808,201012190oti,1,1,15,2010,14,2.0,,0.47379473,,,0.54570836,1,0.509751545
809,201012020phi,1,1,13,2010,10,9.0,,0.5540819,,,0.62779075,1,0.5909363249999999
810,201011010clt,1,1,8,2010,13,5.0,,,0.6543255,,0.5101779000000001,1,0.5822517
811,201010030rai,-1,-1,4,2010,-7,3.5,0.68866295,0.37147194,,0.7566468000000001,0.43740818,0,0.5635474675
812,201011140jax,1,1,10,2010,7,0.0,,,0.28465348,,0.80049586,1,0.54257467
813,201011210nyj,-1,1,11,2010,3,6.5,,,,0.6975406999999999,,1,0.6975406999999999
814,201010100was,1,1,5,2010,3,3.0,0.37301973,,,,0.42519218,1,0.399105955
815,201009270chi,1,1,3,2010,3,3.0,0.29354763,0.4078454,,,,1,0.350696515
816,201101230chi,-1,-1,20,2010,-7,3.5,0.38794166,,,0.5870444,,0,0.48749303
817,201012120det,1,1,14,2010,4,7.0,,,0.045197845,0.24409473,,1,0.1446462875
818,201011210min,-1,-1,11,2010,-28,3.0,,,0.5206973,,,0,0.5206973
819,201012190nwe,-1,1,15,2010,4,14.0,0.87035173,,0.9423386999999999,,0.9666548,1,0.92644841
820,201009120phi,-1,-1,1,2010,-7,3.0,0.6706890999999999,0.6119604999999999,0.20926327,,0.28345317,0,0.44384150999999994
