Feature,full,1,0,3,2,4,Importance,StdDev
home_field___v_visitor__ovr_wr_last_8_games,0.020691823162526157,0.014971613562944325,0.02785415421646509,0.02457908794643289,0.020354369046969318,0.020210029547245382,0.0215938508640114,0.004883859692552741
time_date___week_id,0.019038764380891412,0.01817140072588905,0.021354159294742343,0.023380307699611573,0.019514711438877518,0.020158003207304983,0.020515716473285095,0.0019707013625773167
weather___wind_chill,0.018833967552297267,0.018574716358079658,0.01715661739131111,0.017236334721181017,0.02057085003419859,0.018099478337514532,0.01832759936845698,0.0013881045423403255
home_field___v_visitor__ovr_wr_ytd,0.017548349230768992,0.015174255564492816,0.017320089373677273,0.0153229571663553,0.020519760839951048,0.012772128523234321,0.016221838293542155,0.002893277034969187
weather___temperature,0.016972543755585278,0.0123043062813751,0.012936498919411302,0.019282492502567968,0.016079105944059428,0.01732461453362192,0.01558540363620714,0.002946156761392002
team_history___v_ovr_wr_ytd,0.014761819249975498,0.01570387291558666,0.01965489999661577,0.023421108341694568,0.01597306421679628,0.016213636310497843,0.018193316356238224,0.0033358663444232567
home_field___h_home__ovr_wr_last_8_games,0.013847637129412428,0.01437246628708989,0.01188909034146722,0.016723010621036555,0.01669043648833424,0.01347574232144686,0.014630149211874952,0.0020938786992643864
matchup___h_wr_past_3_seasons,0.013568370395499182,0.015352096308671275,0.012990067504073822,0.010412535918358884,0.01063163641283573,0.011956418135296274,0.012268550855847197,0.0020155982989213178
team_history___h_ovr_wr_ytd,0.01330028153639936,0.014734657250112138,0.008560749584443878,0.013495164883166306,0.015655108569814332,0.016499577298486768,0.013789051517204684,0.003128290251498144
home_field___v_visitor__ovr_wr_last_4_games,0.011764591822511274,0.015008020158636825,0.012566269915812544,0.012675491893484155,0.01166215870489,0.008116814706125089,0.012005751075789722,0.0025009116129607093
travel___v_home_body_time,0.01085030684105524,0.011308150039316336,0.006392461151772063,0.011438730274620716,0.01057858685918293,0.012389911827484964,0.010421568030475403,0.0023427217688579893
travel___v_days_since_last_game,0.010543736410853108,0.007071669022692648,0.008985861277494449,0.01230694003423072,0.009329596436509484,0.008728545980217306,0.009284522550228921,0.0018994781085463434
travel___v_tz_change_last_10_days,0.010346732520024349,0.00967178884814104,0.012344777530906572,0.01454057067475931,0.010145648203074795,0.011852967386766512,0.011711150528729645,0.0019388790033002072
travel___h_days_since_last_game,0.010297911124030132,0.009935416726884564,0.0104012338349655,0.011891292365100531,0.009644751563271787,0.00964931809553077,0.010304402517150629,0.0009391513705810145
home_field___h_home__ovr_wr_ytd,0.0102603544807648,0.012483373533852704,0.008474168090421317,0.013531402850567831,0.011968666205381909,0.012492424009625993,0.011790006937969952,0.0019386408318714766
matchup___is_same_division,0.007983506651002276,0.005386290325917931,0.005432541192335051,0.0032832958074043212,0.002935445224045339,0.00574854928298048,0.004557224366536624,0.0013347140637476732
home_field___h_home__ovr_wr_last_4_games,0.007879087717065502,0.004133419027275103,0.009472837655402893,0.008439681296901381,0.008904776420946656,0.009197048959907174,0.008029552672086642,0.0022113456651343746
travel___h_body_clock_from_last_wk,0.0074988866409083236,0.010641561751928605,0.010496702735089935,0.00874352435999686,0.012668732309057344,0.012512265606239387,0.011012557352462427,0.0016235989942159465
travel___h_tz_change_last_10_days,0.00701894361442586,0.00728227283033096,0.008668329938770584,0.005489029009147208,0.008493292849913934,0.009269780997303046,0.007840541125093147,0.0014996098215033977
travel___v_body_clock_from_last_wk,0.00697390020086219,0.009734448443356414,0.012606906936481388,0.007327890432775444,0.01010486051072874,0.013675501124160395,0.010689921489500476,0.002507339071406451
home_field___v_consecutive_visitor,0.005485747840663249,0.005160076023928834,0.005234321432949783,0.007760337975298619,0.003409422335469072,0.007542754288407445,0.005821382411210751,0.0018249786270076811
