,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_regression_score,1_regression_score,2_regression_score,3_regression_score,4_regression_score,regression_label,label,regression_score
563,201112040htx,1,1,13,2011,7,1.5,,,3.7746747000000003,,,7.0,1,3.7746747000000003
564,201112110car,-1,-1,14,2011,-8,2.5,,-8.035969,-16.822485,,-6.259998,-8.0,0,-8.035969
565,201109110chi,1,1,1,2011,18,1.0,-12.643632,,,,3.6601756,18.0,1,-4.4917282
567,201109250tam,1,1,3,2011,3,1.0,,,-1.7656063999999998,-3.1793702,,3.0,1,-2.4724883
568,201111060clt,-1,-1,9,2011,-24,7.0,,,,,-4.360638,-24.0,0,-4.360638
569,201201080nyg,1,1,18,2011,22,3.0,,,,-1.5200886999999998,-1.079335,22.0,1,-1.29971185
570,201112260nor,1,1,16,2011,29,7.0,15.182343,,,-0.39243752,,29.0,1,7.39495274
571,201110020sea,1,-1,4,2011,-2,6.0,,,-10.771476,,-6.978875599999999,-2.0,0,-8.8751758
572,201112180htx,-1,-1,15,2011,-15,4.5,,5.5992737,12.525594,6.3781824,11.747052,-15.0,0,9.0626172
573,201110020chi,-1,1,4,2011,5,7.0,5.44435,,,1.2129014999999999,,5.0,1,3.32862575
574,201109110crd,1,1,1,2011,7,6.5,5.166628,,0.7881087,,,7.0,1,2.97736835
575,201111200det,1,1,11,2011,14,7.0,4.2409143,,4.9250894,5.6014194,-1.3139371000000002,14.0,1,4.5830018500000005
576,201112040tam,-1,-1,13,2011,-19,2.5,5.120694599999999,-1.806282,,7.4787655,,-19.0,0,5.120694599999999
577,201110160atl,1,1,6,2011,14,3.5,,17.184492000000002,-1.0446577,5.5793175999999995,,14.0,1,5.5793175999999995
578,201111270clt,-1,-1,12,2011,-8,3.5,,-18.363253,-12.046257,-12.039956,,-8.0,0,-12.046257
579,201201010nor,1,1,17,2011,28,7.0,,-1.4697195,,1.3584265,13.494518,28.0,1,1.3584265
580,201210140htx,-1,-1,6,2012,-18,4.0,,5.2177315,3.0007644,,,-18.0,0,4.10924795
581,201210210ram,-1,-1,7,2012,-10,4.0,-12.106542999999999,,-8.939453,,,-10.0,0,-10.522998
582,201212160chi,-1,-1,15,2012,-8,3.0,-2.160083,6.1115937,,-3.316755,,-8.0,0,-2.160083
583,201211180det,-1,-1,11,2012,-4,3.0,-11.4932995,-8.003403,-6.09204,-13.515139999999999,,-4.0,0,-9.748351249999999
584,201210070clt,1,1,5,2012,3,7.0,,,,,0.6857127,3.0,1,0.6857127
585,201301120sfo,1,1,19,2012,14,3.0,,,,-2.7707727,5.3547735,14.0,1,1.2920004
586,201212300min,1,1,17,2012,3,3.0,-8.014481,,8.282358,-4.5104823,-6.611607000000001,3.0,1,-5.56104465
587,201211250nyg,1,1,12,2012,28,2.0,,-4.4099298,-5.177179,,-1.3538249,28.0,1,-4.4099298
588,201209240sea,-1,1,3,2012,2,3.0,,3.011573,-5.126981,,,2.0,1,-1.057704
589,201212160htx,1,1,15,2012,12,10.0,18.396738,,,,14.749226,12.0,1,16.572982
590,201209090chi,1,1,1,2012,20,9.5,,10.993405000000001,0.8559141,,,20.0,1,5.92465955
591,201212020det,-1,-1,13,2012,-2,7.0,,,3.4348106,8.02506,11.535712,-2.0,0,8.02506
592,201211180nwe,1,1,11,2012,35,9.5,17.667067000000003,,,11.686067,19.496082,35.0,1,17.667067000000003
593,201210280oti,-1,-1,8,2012,-6,3.5,,,,-9.670633,,-6.0,0,-9.670633
594,201301060rav,1,1,18,2012,15,7.5,,8.988057000000001,5.2859050000000005,14.130810999999998,,15.0,1,8.988057000000001
595,201212230kan,-1,-1,16,2012,-7,5.0,-8.825536999999999,-11.000950999999999,-13.338161,,-14.009063000000001,-7.0,0,-12.169556
596,201211080jax,-1,-1,10,2012,-17,3.5,-3.8687415,1.5756433,,,,-17.0,0,-1.1465491
597,201210140nyj,1,1,6,2012,26,3.5,-3.1648943,,-6.465268,,-1.3011953,26.0,1,-3.1648943
598,201309150htx,-1,1,2,2013,6,7.5,5.019775,,5.3387655999999994,,,6.0,1,5.1792703
599,201311030ram,-1,-1,9,2013,-7,3.0,-5.743958,-7.3399587,,-6.9894238,,-7.0,0,-6.9894238
600,201309080pit,-1,-1,1,2013,-7,6.0,,5.3728967,,4.6342483,5.3519835,-7.0,0,5.3519835
601,201312010clt,1,1,13,2013,8,3.5,,2.8213053,,0.24582818,4.3221607,8.0,1,2.8213053
602,201312080den,1,1,14,2013,23,12.5,11.592584,,12.571852999999999,,19.978191,23.0,1,12.571852999999999
603,201311240rai,-1,-1,12,2013,-4,3.0,,,,,-8.197315,-4.0,0,-8.197315
604,201310130sea,-1,1,6,2013,7,11.5,,28.166826,21.037504000000002,,4.621892,7.0,1,21.037504000000002
605,201309290htx,-1,-1,4,2013,-3,2.0,-5.3526682999999995,6.59979,,,,-3.0,0,0.62356085
606,201310280ram,1,-1,8,2013,-5,13.0,,,-4.650049,-8.072567999999999,-9.416252,-5.0,0,-8.072567999999999
607,201309080car,-1,-1,1,2013,-5,3.5,-6.0041237,,0.24830768,1.6278499,,-5.0,0,0.24830768
608,201310170crd,-1,-1,7,2013,-12,4.5,-11.5491085,-12.760071,-5.3702664,-11.452621,,-12.0,0,-11.500864750000002
609,201311100atl,-1,-1,10,2013,-23,3.0,0.9269959999999999,-8.4974785,-4.25012,-4.1333265,,-23.0,0,-4.19172325
610,201310060clt,1,1,5,2013,6,3.0,-7.5710297,,0.015375435,,,6.0,1,-3.7778271325
611,201312080sfo,-1,1,14,2013,2,2.5,-10.111283,-2.3336873,,2.0566945,1.1930778,2.0,1,-0.5703047499999999
612,201312150nyg,-1,-1,15,2013,-23,8.5,,-4.067666,-18.199558,,-5.566361,-23.0,0,-5.566361
613,201310130htx,-1,-1,6,2013,-25,9.0,1.6303308,,,,6.992561,-25.0,0,4.3114459
614,201310200car,1,1,7,2013,15,7.5,,,,,6.178669999999999,15.0,1,6.178669999999999
615,201312080crd,1,1,14,2013,20,4.5,6.6783385,,3.6586523,,,20.0,1,5.168495399999999
616,201309150atl,1,1,2,2013,7,5.5,3.6252449,11.391994,,,,7.0,1,7.50861945
617,201311100clt,-1,-1,10,2013,-30,7.0,8.082046499999999,16.673382,,16.328827,,-30.0,0,16.328827
618,201312010sfo,1,1,13,2013,10,7.5,11.422125,14.806045999999998,19.476965,11.159450999999999,,10.0,1,13.114085499999998
619,201312290sea,1,1,17,2013,18,13.0,16.344642999999998,16.262444,8.030146,,6.918369,18.0,1,12.146294999999999
620,201309220dal,1,1,3,2013,24,3.0,,-7.593982700000001,,0.98872805,-0.37031149999999996,24.0,1,-0.37031149999999996
621,201311030htx,-1,-1,9,2013,-3,1.0,-6.218276,,0.8414855,,-6.079281,-3.0,0,-6.079281
622,201310140sdg,1,1,6,2013,10,0.0,-0.740576,1.0727631000000002,,,,10.0,1,0.1660935500000001
623,201312080cin,1,1,14,2013,14,7.5,8.150232,10.549987,-4.165454,,6.236428299999999,14.0,1,7.1933301499999995
624,201311240crd,1,1,12,2013,29,3.0,-0.48395109999999997,,,4.260221499999999,9.080173,29.0,1,4.260221499999999
625,201401110nwe,1,1,19,2013,21,7.0,24.935051,15.258801,9.914464,,18.328526,21.0,1,16.7936635
626,201312220kan,-1,-1,16,2013,-16,7.5,16.332352,15.8799715,16.987503,20.191769,,-16.0,0,16.659927500000002
627,201309290jax,-1,-1,4,2013,-34,9.5,,,,,-1.3327886,-34.0,0,-1.3327886
628,201309220sfo,-1,-1,3,2013,-20,10.5,6.379813700000001,6.481826,,9.640851,,-20.0,0,6.481826
629,201311170htx,-1,-1,11,2013,-5,10.5,,,6.560015700000001,,2.1111667,-5.0,0,4.3355912000000005
630,201312220sdg,1,1,16,2013,13,10.0,11.778358,17.807458999999998,5.916796700000001,13.221916,,13.0,1,12.500137
