,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
2584,201109110tam,-1,-1,1,2011,-7,1.5,0.49117446,0.5480669,,,,0,0.5196206800000001
2586,201110300den,-1,-1,8,2011,-35,3.5,,,0.33695993,,,0,0.33695993
2587,201112040nor,1,1,13,2011,14,8.5,,0.8060231,0.8341284999999999,0.85939085,,1,0.8331808166666667
2588,201201070nor,1,1,18,2011,17,10.5,,,0.80252314,,0.59208846,1,0.6973058000000001
2590,201201150gnb,-1,-1,19,2011,-17,8.0,0.79591584,0.66078156,0.7921206000000001,,0.5862906,0,0.70877715
2591,201109110was,1,1,1,2011,14,0.0,0.58767015,,0.3898938,0.7211871,0.3711627,1,0.5174784375
2592,201110020crd,-1,-1,4,2011,-4,1.5,,0.7533236,,,,0,0.7533236
2593,201111060nwe,-1,-1,9,2011,-4,9.5,,0.77128226,,,0.80106354,0,0.7861729
2594,201109250phi,-1,-1,3,2011,-13,8.0,0.32214952,0.85083205,0.93680173,,0.8805144,0,0.747574425
2595,201111130sfo,1,1,10,2011,7,4.0,,0.6002978,0.58293444,0.6404759,0.74311936,1,0.641706875
2596,201201220sfo,-1,-1,20,2011,-3,2.0,0.32341123,0.59212697,0.47843859999999994,,0.8314368000000001,0,0.5563534
2597,201112110dal,-1,-1,14,2011,-3,4.5,0.5507746,,,0.46492103,,0,0.507847815
2598,201111280nor,1,1,12,2011,25,7.0,,,,0.80016905,,1,0.80016905
2599,201209090gnb,-1,-1,1,2012,-8,6.0,,0.7843243000000001,,,,0,0.7843243000000001
2600,201212020ram,1,1,13,2012,3,7.5,0.2532941,0.32058626,0.33286550000000004,,,1,0.30224862
2601,201210290crd,-1,-1,8,2012,-21,7.0,0.22084188,,,0.4458911,,0,0.33336648999999996
2602,201212160nwe,-1,-1,15,2012,-7,4.0,,0.68464243,,,0.7258633000000001,0,0.7052528650000001
2603,201209230min,1,1,3,2012,11,7.0,,,0.35592806,0.26508164,,1,0.31050485
2604,201209300nyj,-1,-1,4,2012,-34,3.5,,,,,0.464301,0,0.464301
2605,201211250nor,-1,-1,12,2012,-10,1.5,,,0.85396314,,0.49787402,0,0.6759185799999999
2606,201212230sea,1,1,16,2012,29,1.5,,0.5787058,0.61003333,0.6508682,,1,0.6132024433333334
2607,201209130gnb,1,1,2,2012,13,5.5,0.58166456,0.7262058000000001,,0.5338248999999999,,1,0.6138984200000001
2608,201212230crd,-1,-1,16,2012,-15,7.0,,,,0.30009586,,0,0.30009586
2609,201212300det,1,-1,17,2012,-2,3.0,,0.37050718,0.32921502,0.38969037,0.37194228,0,0.36533871250000005
2610,201211040oti,-1,-1,9,2012,-31,4.5,0.18343335,0.14550304,,0.21995384,,0,0.18296341000000002
2611,201211190sfo,1,1,11,2012,25,3.5,0.5300243,0.32475004,,0.40250114,0.5161209,1,0.443349095
2612,201210010dal,-1,-1,4,2012,-16,2.0,,0.92477536,,0.30063117,,0,0.612703265
2613,201210070jax,-1,-1,5,2012,-38,6.0,,,0.41585636,0.16976032,0.21787816,0,0.26783161333333333
2614,201212090min,1,1,14,2012,7,0.0,,0.23600787,,0.36621648,,1,0.301112175
2615,201209300gnb,-1,1,4,2012,1,7.5,,,0.6099446,,,1,0.6099446
2616,201209160car,1,1,2,2012,8,3.0,0.50643206,0.39143106,,,0.24240726,1,0.3800901266666667
2617,201210210tam,-1,-1,7,2012,-7,1.0,0.48034390000000005,0.95628166,,0.32063909999999995,,0,0.5857548866666666
2618,201211290atl,1,1,13,2012,10,3.5,0.5996119000000001,0.41121736,0.7244271,,,1,0.5784187866666667
2619,201212230dal,-1,-1,16,2012,-3,1.5,0.51200664,0.5334814999999999,0.23127848,0.49939695,,0,0.44404089249999995
2620,201212090nyg,1,1,14,2012,25,4.0,,0.66065484,0.65399325,,0.7672690999999999,1,0.6939723966666667
2621,201210280den,1,1,8,2012,20,6.0,0.5931218,0.11641863,,,0.8084520000000001,1,0.5059974766666667
2622,201211180rai,-1,-1,11,2012,-21,6.0,0.03548473,0.4204778,0.17569792,0.35821402,0.3811408,0,0.274203054
2623,201211040gnb,1,1,9,2012,14,10.5,1.094874,0.83161503,,0.7928009,,1,0.9064299766666667
2624,201210040ram,1,1,5,2012,14,1.5,,,,,0.5987388000000001,1,0.5987388000000001
2625,201209160nwe,-1,-1,2,2012,-2,13.5,0.69279134,,0.93155146,0.8577674000000001,,0,0.8273700666666667
2626,201211180atl,-1,1,11,2012,4,9.5,1.0688434,,,,0.79944265,1,0.934143025
2627,201212300sfo,-1,1,17,2012,14,16.0,,,,1.0227431999999999,,1,1.0227431999999999
2628,201212020nyj,-1,1,13,2012,1,6.5,0.6351187,0.7820772,,0.5993916,0.6421838000000001,1,0.664692825
