,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_regression_score,1_regression_score,2_regression_score,3_regression_score,4_regression_score,regression_label,label,regression_score
2413,200709230pit,1,1,3,2007,21,10.0,,,16.099375,,,21.0,1,16.099375
2414,200711040atl,1,1,9,2007,4,3.5,,,7.6573405,,7.9598684,4.0,1,7.808604450000001
2415,200809070cle,-1,-1,1,2008,-18,6.0,,,,-6.5435514,,-18.0,0,-6.5435514
2416,200809210gnb,-1,-1,3,2008,-11,3.0,0.67482126,-4.4835167,-2.7806637000000003,,,-11.0,0,-2.7806637000000003
2417,200811020nyg,1,1,9,2008,21,8.5,19.588194,,13.39214,6.770963,,21.0,1,13.39214
2418,200810190ram,1,1,7,2008,20,8.5,1.0200898999999999,-2.7349777000000004,-2.5675209,,,20.0,1,-2.5675209
2419,200811160was,-1,-1,11,2008,-4,1.5,,-3.9936227999999994,-3.1249697,-1.0072279,-3.7908992999999995,-4.0,0,-3.4579344999999995
2420,200810120crd,1,1,6,2008,6,5.0,-2.7314322,,-9.065244999999999,-3.9994392,-8.256746000000001,6.0,1,-6.1280926000000004
2421,200812070pit,1,1,14,2008,7,4.0,13.028889,,,12.776427,,7.0,1,12.902657999999999
2422,200812280phi,1,1,17,2008,38,2.0,,1.0702873,-1.0178886999999999,5.187191,,38.0,1,1.0702873
2423,200809140cle,1,-1,2,2008,-4,6.5,,,,0.23825312,-2.8568672999999998,-4.0,0,-1.30930709
2425,200811030was,-1,-1,9,2008,-17,2.5,3.7018072999999996,-9.907706,,-5.363272,,-17.0,0,-5.363272
2426,200810190cin,-1,-1,7,2008,-28,8.5,-9.7038145,,,-14.214573999999999,-15.165712,-28.0,0,-14.214573999999999
2427,200811300nwe,-1,-1,13,2008,-23,2.5,,-6.4611535,1.7043012,,,-23.0,0,-2.37842615
2428,200812210oti,1,1,16,2008,17,3.0,,,,-4.047385,-0.31565022,17.0,1,-2.18151761
2429,200812140rav,-1,-1,15,2008,-4,3.0,-8.939291,-4.8192983,8.217991,,11.245625500000001,-4.0,0,1.69934635
2430,200809210phi,1,1,3,2008,9,3.5,2.4905896,6.473757,5.7243185,0.857834,,9.0,1,4.107454049999999
2431,200810130cle,1,1,6,2008,21,8.0,,-8.474725,3.622494,,-10.032205000000001,21.0,1,-8.474725
2432,200812140dal,1,1,15,2008,12,3.0,,2.9068443999999998,1.2757409,-5.4303292999999995,,12.0,1,1.2757409
