,regression_label,regression_score,LOWESS Wide Window,LOWESS Tight Window,OLS
79,-26.0,4.8620474,-6.265006208904903,-5.9949358311696725,-2.6046035105793157
80,-25.0,-10.596805900000001,-6.263054550385074,-5.99736640628761,-2.43006960978495
81,-25.0,-8.1612025,-6.246392654995243,-6.00106135703172,-2.43006960978495
82,-25.0,-6.851213379999999,-6.241780668753196,-6.005795800073227,-2.43006960978495
83,-25.0,-4.729442200000001,-6.227144377739926,-6.008235477261686,-2.43006960978495
84,-25.0,-3.4859388,-6.212807821156006,-6.01082754444815,-2.43006960978495
85,-25.0,-1.4517934333333333,-6.1871876611014285,-6.01602931603423,-2.43006960978495
86,-25.0,1.7792457200000005,-6.1853489085391296,-6.016145684611706,-2.43006960978495
87,-25.0,4.3114459,-6.161749732137953,-6.025884748210799,-2.43006960978495
88,-25.0,5.17234,-6.150539140849573,-6.035154107048657,-2.43006960978495
89,-25.0,9.541383999999999,-6.142989646091517,-6.036462353781957,-2.43006960978495
90,-24.0,-13.849326000000001,-6.140613013050698,-6.036916641543942,-2.2555357089905845
91,-24.0,-12.991931333333333,-6.121175162491113,-6.0443301132172325,-2.2555357089905845
92,-24.0,-12.232899433333332,-6.109490698679388,-6.047784163435549,-2.2555357089905845
93,-24.0,-9.675899000000001,-6.092427503389887,-6.053883077702201,-2.2555357089905845
94,-24.0,-8.945189000000001,-6.091800419367368,-6.054131213689387,-2.2555357089905845
95,-24.0,-8.504730433333334,-6.058577182309146,-6.0809096701505965,-2.2555357089905845
96,-24.0,-8.14518215,-6.053510985608858,-6.083634928837908,-2.2555357089905845
97,-24.0,-8.04589845,-6.03479737832494,-6.094724040360695,-2.2555357089905845
98,-24.0,-6.9814973,-6.024960072121218,-6.1120913567689295,-2.2555357089905845
99,-24.0,-6.798249966666667,-6.006494077675684,-6.130552525945999,-2.2555357089905845
100,-24.0,-5.7571669000000005,-6.002323351196257,-6.133730634232548,-2.2555357089905845
101,-24.0,-4.94529,-5.9898137158734075,-6.14384663319995,-2.2555357089905845
102,-24.0,-4.360638,-5.987539647595508,-6.145782814176406,-2.2555357089905845
103,-24.0,-3.2733915000000002,-5.984864682355438,-6.1480996153911125,-2.2555357089905845
104,-24.0,-2.78332315,-5.979126044763899,-6.1532149460905075,-2.2555357089905845
105,-24.0,-2.5070978,-5.978989252372967,-6.153339315872323,-2.2555357089905845
106,-24.0,-1.273291018026,-5.950829373539797,-6.181408659750542,-2.2555357089905845
107,-24.0,-1.1603665,-5.916709385358768,-6.226602784267238,-2.2555357089905845
108,-24.0,-0.07990309999999994,-5.911522814616255,-6.235255494930098,-2.2555357089905845
109,-24.0,2.8402069,-5.901048790596903,-6.251424214302197,-2.2555357089905845
110,-24.0,3.272545333333334,-5.885166231234637,-6.274942787969103,-2.2555357089905845
111,-24.0,3.3602916,-5.883860123203336,-6.276970511390714,-2.2555357089905845
112,-24.0,4.2370798333333335,-5.839562923591402,-6.3564837019651925,-2.2555357089905845
113,-24.0,4.992414699999999,-5.816920891355199,-6.40539617352861,-2.2555357089905845
114,-24.0,5.441763133333333,-5.802748228644485,-6.43887232141682,-2.2555357089905845
115,-24.0,7.1218449999999995,-5.798627699971,-6.448986244513615,-2.2555357089905845
116,-24.0,9.615672499999999,-5.790474202641563,-6.468351060229343,-2.2555357089905845
117,-23.0,-9.277861666666666,-5.787546095023139,-6.475144261018299,-2.08100180819622
118,-23.0,-8.26381425,-5.786753420564657,-6.476816726919234,-2.08100180819622
119,-23.0,-7.959299519999999,-5.77682463994088,-6.500389171674179,-2.08100180819622
120,-23.0,-7.680975475,-5.7643532443837975,-6.53319156705783,-2.08100180819622
121,-23.0,-6.672853266666667,-5.760637602288496,-6.541286361180816,-2.08100180819622
122,-23.0,-4.6905932,-5.759977901063373,-6.542842003060654,-2.08100180819622
123,-23.0,-3.9884822499999997,-5.756099325575067,-6.553342789434059,-2.08100180819622
124,-23.0,-0.6668090999999999,-5.748269452723128,-6.574807433531762,-2.08100180819622
125,-23.0,-0.3404200499999999,-5.704641097594339,-6.700055551834852,-2.08100180819622
126,-23.0,1.6763116999999998,-5.694644589097221,-6.731753008485631,-2.08100180819622
127,-23.0,2.119888675,-5.6869648724300985,-6.756510947039331,-2.08100180819622
128,-23.0,6.1640343,-5.675944969094162,-6.7913728637086015,-2.08100180819622
129,-22.0,-13.749463500000001,-5.665432326013937,-6.824183314044407,-1.906467907401854
130,-22.0,-8.6765179,-5.659229035794069,-6.844298585511032,-1.906467907401854
131,-22.0,-7.732667625,-5.6577167550807195,-6.849183154394115,-1.906467907401854
132,-22.0,-7.644013643333333,-5.65282466341944,-6.862783359862459,-1.906467907401854
133,-22.0,-6.526996833333333,-5.6423536138877655,-6.8894875563045455,-1.906467907401854
134,-22.0,-6.10486785,-5.59714142679946,-6.994968274358019,-1.906467907401854
135,-22.0,-0.8071002000000003,-5.593676282506159,-7.003364563651932,-1.906467907401854
136,-22.0,0.1544567,-5.557223989556081,-7.079946983468339,-1.906467907401854
137,-22.0,1.8379960999999998,-5.551059134739971,-7.085473406950041,-1.906467907401854
138,-22.0,2.369238525,-5.549163680287557,-7.0870893147522285,-1.906467907401854
139,-22.0,11.446086,-5.512101122528899,-7.132986708526702,-1.906467907401854
140,-21.0,-13.172412999999999,-5.5039111846676905,-7.149018226107469,-1.7319340066074889
141,-21.0,-12.638746625,-5.501526324407098,-7.15391879332904,-1.7319340066074889
142,-21.0,-11.7113365,-5.4968492137285185,-7.156029940168585,-1.7319340066074889
143,-21.0,-11.3829845,-5.477525496518576,-7.190467218038315,-1.7319340066074889
144,-21.0,-10.525931333333332,-5.462923303886079,-7.217276776620177,-1.7319340066074889
145,-21.0,-9.617683,-5.456112592783077,-7.230650186703367,-1.7319340066074889
146,-21.0,-9.276056375000001,-5.45379969697578,-7.235535469810716,-1.7319340066074889
147,-21.0,-8.552217,-5.449067752331542,-7.2454871201696065,-1.7319340066074889
148,-21.0,-6.73815585,-5.4474326807861,-7.248913300287402,-1.7319340066074889
149,-21.0,-6.3635771000000005,-5.427822380576155,-7.2848260828110725,-1.7319340066074889
150,-21.0,-5.9034631,-5.424263198249363,-7.291689625972192,-1.7319340066074889
151,-21.0,-5.649768092,-5.397490452257238,-7.341550144951526,-1.7319340066074889
152,-21.0,-4.825286,-5.390410260711685,-7.356195240505636,-1.7319340066074889
153,-21.0,-4.741228240000001,-5.386898951501593,-7.363459375271027,-1.7319340066074889
154,-21.0,-3.9785704199999996,-5.356587364887973,-7.410683628542078,-1.7319340066074889
155,-21.0,-2.4166493,-5.355178784687185,-7.413475349908934,-1.7319340066074889
156,-21.0,-2.2988657999999997,-5.330918014025214,-7.426301569045839,-1.7319340066074889
157,-21.0,-1.6019558500000004,-5.323027669868043,-7.434290346339058,-1.7319340066074889
158,-21.0,0.0725134500000002,-5.3224598383709845,-7.4338965147183655,-1.7319340066074889
