,game_id,did_cover_sbr,did_win,week_id,season,final_margin,sbr_spread,0_score,1_score,2_score,3_score,4_score,label,score
2412,200711250crd,-1,-1,12,2007,-6,10.0,0.6586276,0.8999357,1.025192,0.90914804,0.47577405,0,0.8999357
2413,200709230pit,1,1,3,2007,21,10.0,0.8088331,,,,0.6383701,1,0.7236016000000001
2414,200711040atl,1,1,9,2007,4,3.5,,0.02051118,0.20547359999999998,0.26084244,,1,0.20547359999999998
2415,200809070cle,-1,-1,1,2008,-18,6.0,0.036929905,0.29390913,0.13385051,,0.67987245,0,0.21387982
2416,200809210gnb,-1,-1,3,2008,-11,3.0,0.31587824,0.5971721999999999,,0.8146335,,0,0.5971721999999999
2417,200811020nyg,1,1,9,2008,21,8.5,0.55724424,0.36098313,0.8945576,,,1,0.55724424
2418,200810190ram,1,1,7,2008,20,8.5,,0.17010987,,0.22796896,0.20822635,1,0.20822635
2419,200811160was,-1,-1,11,2008,-4,1.5,,,,,0.35895175,0,0.35895175
2420,200810120crd,1,1,6,2008,6,5.0,,-0.11123794,,0.06422973,,1,-0.023504104999999997
2421,200812070pit,1,1,14,2008,7,4.0,0.7086726,0.8266752,0.47080603,0.45694897,,1,0.589739315
2422,200812280phi,1,1,17,2008,38,2.0,0.41555327,,,,0.45179278,1,0.433673025
2423,200809140cle,1,-1,2,2008,-4,6.5,,,,0.75910425,0.61281264,0,0.685958445
2424,200810050jax,-1,-1,5,2008,-5,5.5,0.5130068,,,0.6488429,0.5195135000000001,0,0.5195135000000001
2425,200811030was,-1,-1,9,2008,-17,2.5,,,,,0.77675366,0,0.77675366
2426,200810190cin,-1,-1,7,2008,-28,8.5,0.45378279999999993,0.35837603,0.34800386,,,0,0.35837603
2427,200811300nwe,-1,-1,13,2008,-23,2.5,0.5474420999999999,0.471922,0.7012848,,,0,0.5474420999999999
2428,200812210oti,1,1,16,2008,17,3.0,,,0.09604818,,1.0149920000000001,1,0.55552009
2429,200812140rav,-1,-1,15,2008,-4,3.0,0.7040339,,0.35545403,,,0,0.529743965
2431,200810130cle,1,1,6,2008,21,8.0,,0.02206105,-0.015058338999999999,-0.20350498,0.37865132,1,0.0035013555
2432,200812140dal,1,1,15,2008,12,3.0,,,,0.37418592,,1,0.37418592
2433,200812280min,-1,1,17,2008,1,7.0,0.7485621,0.88418734,0.6644321,0.5014864,0.7978225,1,0.7485621
2434,200809140ram,-1,-1,2,2008,-28,8.0,0.29398635,0.11581340400000001,-0.1165995,0.11269918,0.024453104,0,0.11269918
2435,200811300was,-1,-1,13,2008,-16,4.0,,,0.28981072,,,0,0.28981072
2436,200811230crd,-1,-1,12,2008,-8,3.0,,,0.38265570000000004,,,0,0.38265570000000004
2437,200810260pit,-1,-1,8,2008,-7,3.0,,0.47008255,0.37303293,0.81017894,0.73264456,0,0.601363555
2438,200811090phi,-1,-1,10,2008,-5,3.0,0.79065144,0.23386928,0.5472792,0.501855,0.39913696,0,0.501855
